"Местное время в Красноярске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2023 01:00";"-9.6";"749.5";"767.7";"";"97";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.0";"";"";"";"";"";"";
"27.12.2023 22:00";"-7.1";"750.6";"768.7";"";"96";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.6";"";"";"";"";"";"";
"27.12.2023 19:00";"-4.3";"751.6";"769.5";"";"89";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"1.9";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"27.12.2023 16:00";"-2.0";"751.5";"769.3";"";"75";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"27.12.2023 13:00";"0.7";"751.9";"769.5";"";"63";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.6";"";"";"";"";"";"";
"27.12.2023 07:00";"-1.3";"749.1";"766.8";"";"88";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"-8.7";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"27.12.2023 04:00";"-5.6";"746.5";"764.4";"";"92";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.7";"";"";"";"";"";"";
"27.12.2023 01:00";"-6.7";"745.9";"763.9";"";"91";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.0";"";"";"";"";"";"";
"26.12.2023 22:00";"-7.6";"746.8";"764.8";"";"96";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
"26.12.2023 19:00";"-8.5";"747.1";"765.2";"";"92";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"-5.6";"";"";"";"";"";"";"-9.6";"";"";"";"";"";"";
"26.12.2023 16:00";"-6.6";"747.4";"765.4";"";"84";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.9";"";"";"";"";"";"";
"26.12.2023 13:00";"-6.3";"748.0";"766.0";"";"78";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.5";"";"";"";"";"";"";
"26.12.2023 10:00";"-9.8";"748.3";"766.5";"";"93";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-10.4";"";"";"";"";"";"";"";"-10.8";"";"";"";"";"";"";
"26.12.2023 07:00";"-9.6";"748.0";"766.2";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-9.9";"";"";"";"";"";"";"";"-10.3";"";"";"";"";"";"";
"26.12.2023 04:00";"-8.5";"748.4";"766.6";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.1";"";"";"";"";"";"";
"26.12.2023 01:00";"-6.6";"748.8";"766.8";"";"93";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.6";"";"";"";"";"";"";
"25.12.2023 22:00";"-6.5";"749.5";"767.5";"";"91";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.7";"";"";"";"";"";"";
"25.12.2023 19:00";"-4.1";"750.4";"768.2";"";"81";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"-2.4";"";"";"";"";"";"";"-6.9";"";"";"";"";"";"";
"25.12.2023 16:00";"-3.1";"751.4";"769.3";"";"78";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.4";"";"";"";"";"";"";
"25.12.2023 13:00";"-2.9";"751.9";"769.7";"";"78";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.3";"";"";"";"";"";"";
"25.12.2023 10:00";"-4.9";"752.3";"770.3";"";"93";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.9";"";"";"";"";"";"";
"25.12.2023 07:00";"-5.3";"752.3";"770.3";"";"91";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-6.1";"";"";"";"";"";"";"";"-6.5";"";"";"";"";"";"";
"25.12.2023 04:00";"-5.4";"752.4";"770.4";"";"90";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"";"";"";"";"";"";
"25.12.2023 01:00";"-5.6";"751.7";"769.7";"";"90";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.0";"";"";"";"";"";"";
"24.12.2023 22:00";"-5.9";"751.3";"769.4";"";"90";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.3";"";"";"";"";"";"";
"24.12.2023 19:00";"-5.7";"750.9";"768.9";"";"88";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"-1.6";"";"";"";"";"";"";"-7.4";"";"";"";"";"";"";
"24.12.2023 16:00";"-5.3";"750.7";"768.7";"";"85";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.4";"";"";"";"";"";"";
"24.12.2023 13:00";"-5.0";"750.4";"768.4";"";"83";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.5";"";"";"";"";"";"";
"24.12.2023 10:00";"-6.8";"750.4";"768.5";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-6.9";"";"";"";"";"";"";"";"-7.5";"";"";"";"";"";"";
"24.12.2023 07:00";"-1.6";"749.7";"767.4";"";"69";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"-1.6";"";"";"";"";"";"";"";"-6.6";"";"";"";"";"";"";
"24.12.2023 04:00";"-1.2";"750.0";"767.7";"";"72";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.7";"";"";"";"";"";"";
"24.12.2023 01:00";"-0.8";"750.6";"768.3";"";"73";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.1";"";"";"";"";"";"";
"23.12.2023 22:00";"-0.5";"751.6";"769.2";"";"76";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.3";"";"";"";"";"";"";
"23.12.2023 19:00";"0.1";"752.0";"769.6";"";"75";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"1.2";"";"";"";"";"";"";"-3.8";"";"";"";"";"";"";
"23.12.2023 16:00";"0.7";"753.0";"770.6";"";"77";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"23.12.2023 13:00";"1.0";"753.7";"771.3";"";"77";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"23.12.2023 10:00";"-0.2";"753.9";"771.6";"";"85";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.5";"";"";"";"";"";"";
"23.12.2023 07:00";"-0.4";"753.5";"771.2";"";"84";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"-2.8";"";"";"";"";"";"";"";"-2.8";"";"";"";"";"";"";
"23.12.2023 04:00";"-1.2";"753.2";"771.0";"";"88";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"23.12.2023 01:00";"-1.0";"752.8";"770.5";"";"79";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.2";"";"";"";"";"";"";
"22.12.2023 22:00";"-2.4";"753.3";"771.1";"";"85";"Ветер, дующий с юго-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.6";"";"";"";"";"";"";
"22.12.2023 19:00";"-2.3";"754.4";"772.3";"";"68";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"-2.3";"";"";"";"";"";"";"-7.5";"";"";"";"";"";"";
"22.12.2023 16:00";"-3.4";"755.5";"773.4";"";"74";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.4";"";"";"";"";"";"";
"22.12.2023 13:00";"-3.8";"756.3";"774.3";"";"73";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.9";"";"";"";"";"";"";
"22.12.2023 10:00";"-5.0";"755.9";"774.0";"";"78";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.3";"";"";"";"";"";"";
"22.12.2023 07:00";"-5.8";"754.8";"772.9";"";"78";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"-9.3";"";"";"";"";"";"";"";"-9.0";"";"";"";"";"";"";
"22.12.2023 04:00";"-6.6";"754.3";"772.4";"";"79";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.6";"";"";"";"";"";"";
"22.12.2023 01:00";"-7.1";"754.4";"772.6";"";"73";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.2";"";"";"";"";"";"";
"21.12.2023 22:00";"-7.0";"755.2";"773.5";"";"68";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.9";"";"";"";"";"";"";
"21.12.2023 19:00";"-8.0";"756.1";"774.4";"";"68";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"-5.2";"";"";"";"";"";"";"-13.0";"";"";"";"";"";"";
"21.12.2023 16:00";"-7.2";"756.9";"775.1";"";"61";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.6";"";"";"";"";"";"";
"21.12.2023 13:00";"-6.5";"757.0";"775.3";"";"67";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.7";"";"";"";"";"";"";
"21.12.2023 10:00";"-8.7";"757.6";"776.0";"";"76";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.2";"";"";"";"";"";"";
"21.12.2023 07:00";"-9.4";"757.4";"775.9";"";"78";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"-17.8";"";"";"";"";"";"";"";"-12.5";"";"";"";"";"";"";
"21.12.2023 04:00";"-13.2";"757.3";"776.0";"";"90";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.5";"";"";"";"";"";"";
"21.12.2023 01:00";"-14.3";"757.3";"776.2";"";"89";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.8";"";"";"";"";"";"";
"20.12.2023 22:00";"-15.5";"757.8";"776.7";"";"88";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.0";"";"";"";"";"";"";
"20.12.2023 19:00";"-17.8";"758.0";"777.1";"";"86";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"-17.8";"";"";"";"";"";"";"-19.6";"";"";"";"";"";"";
"20.12.2023 16:00";"-19.8";"757.7";"776.9";"";"85";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-21.7";"";"";"";"";"";"";
"20.12.2023 13:00";"-22.6";"757.3";"776.7";"";"80";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-25.1";"";"";"";"";"";"";
"20.12.2023 10:00";"-27.1";"758.3";"778.1";"";"79";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-29.7";"";"";"";"";"";"";
"20.12.2023 07:00";"-28.3";"759.1";"779.0";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-28.5";"";"";"";"";"";"";"";"-31.2";"";"";"";"";"";"";
"20.12.2023 04:00";"-27.5";"759.7";"779.6";"";"77";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-30.3";"";"";"";"";"";"";
"20.12.2023 01:00";"-26.7";"761.0";"780.9";"";"76";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-29.6";"";"";"";"";"";"";
"19.12.2023 22:00";"-26.3";"763.1";"783.0";"";"75";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-29.4";"";"";"";"";"";"";
"19.12.2023 19:00";"-25.0";"765.3";"785.1";"";"73";"Ветер, дующий с востоко-северо-востока";"1";"";"";"";" ";"";"";"";"-23.4";"";"";"";"";"";"";"-28.4";"";"";"";"";"";"";
"19.12.2023 13:00";"-25.1";"767.8";"787.6";"";"78";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-27.9";"";"";"";"";"";"";
"19.12.2023 07:00";"-29.0";"769.4";"789.7";"";"77";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"-31.1";"";"";"";"";"";"";"";"-31.8";"";"";"";"";"";"";
"19.12.2023 01:00";"-28.9";"770.2";"790.5";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-31.8";"";"";"";"";"";"";
"18.12.2023 22:00";"-26.6";"770.5";"790.6";"";"78";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-29.3";"";"";"";"";"";"";
"18.12.2023 19:00";"-25.4";"770.9";"790.9";"";"80";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"-21.8";"";"";"";"";"";"";"-27.9";"";"";"";"";"";"";
"18.12.2023 16:00";"-23.9";"771.0";"790.9";"";"80";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-26.4";"";"";"";"";"";"";
"18.12.2023 13:00";"-22.8";"771.1";"790.9";"";"73";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-26.4";"";"";"";"";"";"";
"18.12.2023 10:00";"-29.4";"771.6";"791.9";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-29.5";"";"";"";"";"";"";"";"-32.3";"";"";"";"";"";"";
"18.12.2023 07:00";"-28.7";"770.9";"791.2";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-28.7";"";"";"";"";"";"";"";"-31.6";"";"";"";"";"";"";
"18.12.2023 04:00";"-27.2";"770.7";"790.9";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-30.2";"";"";"";"";"";"";
"18.12.2023 01:00";"-26.2";"770.1";"790.1";"";"74";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-29.4";"";"";"";"";"";"";
"17.12.2023 22:00";"-24.8";"769.1";"789.0";"";"75";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-27.9";"";"";"";"";"";"";
"17.12.2023 19:00";"-22.4";"768.1";"787.8";"";"72";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"-19.6";"";"";"";"";"";"";"-26.1";"";"";"";"";"";"";
"17.12.2023 16:00";"-21.6";"765.9";"785.4";"";"75";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.9";"";"";"";"";"";"";
"17.12.2023 13:00";"-20.6";"764.1";"783.5";"";"75";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-23.9";"";"";"";"";"";"";
"17.12.2023 10:00";"-19.8";"762.4";"781.7";"";"79";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"-20.0";"";"";"";"";"";"";"";"-22.5";"";"";"";"";"";"";
"17.12.2023 07:00";"-19.7";"760.4";"779.7";"";"80";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"-19.7";"";"";"";"";"";"";"";"-22.3";"";"";"";"";"";"";
"17.12.2023 04:00";"-18.4";"758.9";"778.0";"";"81";"Ветер, дующий с западо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-20.9";"";"";"";"";"";"";
"17.12.2023 01:00";"-17.8";"757.9";"776.9";"";"80";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-20.4";"";"";"";"";"";"";
"16.12.2023 22:00";"-17.3";"757.2";"776.2";"";"82";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-19.7";"";"";"";"";"";"";
"16.12.2023 19:00";"-16.2";"756.5";"775.4";"";"83";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"-12.0";"";"";"";"";"";"";"-18.4";"";"";"";"";"";"";
"16.12.2023 16:00";"-14.3";"755.9";"774.7";"";"84";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.5";"";"";"";"";"";"";
"16.12.2023 13:00";"-12.2";"755.9";"774.5";"";"75";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.8";"";"";"";"";"";"";
"16.12.2023 10:00";"-12.4";"756.7";"775.4";"";"68";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.1";"";"";"";"";"";"";
"16.12.2023 07:00";"-12.9";"757.8";"776.5";"";"70";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"-17.1";"";"";"";"";"";"";"";"-17.3";"";"";"";"";"";"";
"16.12.2023 04:00";"-13.5";"759.1";"777.9";"";"64";"Ветер, дующий с юго-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-19.0";"";"";"";"";"";"";
"16.12.2023 01:00";"-14.8";"760.8";"779.7";"";"64";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-20.1";"";"";"";"";"";"";
"15.12.2023 22:00";"-16.1";"762.7";"781.7";"";"75";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-19.6";"";"";"";"";"";"";
"15.12.2023 19:00";"-17.1";"764.4";"783.5";"";"77";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"-16.5";"";"";"";"";"";"";"-20.2";"";"";"";"";"";"";
"15.12.2023 16:00";"-17.2";"765.8";"785.0";"";"69";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-21.5";"";"";"";"";"";"";
"15.12.2023 13:00";"-17.1";"766.9";"786.1";"";"70";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-21.3";"";"";"";"";"";"";
"15.12.2023 10:00";"-18.4";"768.0";"787.3";"";"73";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-22.1";"";"";"";"";"";"";
"15.12.2023 07:00";"-19.1";"769.0";"788.5";"";"68";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"-20.5";"";"";"";"";"";"";"";"-23.5";"";"";"";"";"";"";
"15.12.2023 04:00";"-20.0";"769.7";"789.2";"";"71";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-23.9";"";"";"";"";"";"";
"15.12.2023 01:00";"-20.4";"770.7";"790.3";"";"72";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.1";"";"";"";"";"";"";
"14.12.2023 22:00";"-20.2";"771.1";"790.6";"";"74";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-23.7";"";"";"";"";"";"";
"14.12.2023 19:00";"-18.9";"770.8";"790.2";"";"72";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"-18.0";"";"";"";"";"";"";"-22.7";"";"";"";"";"";"";
"14.12.2023 16:00";"-18.1";"770.2";"789.7";"";"73";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-21.8";"";"";"";"";"";"";
"14.12.2023 13:00";"-18.8";"770.5";"789.9";"";"77";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-21.8";"";"";"";"";"";"";
"14.12.2023 10:00";"-20.3";"771.4";"791.0";"";"81";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-22.7";"";"";"";"";"";"";
"14.12.2023 07:00";"-21.1";"772.3";"792.0";"";"80";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"-24.1";"";"";"";"";"";"";"";"-23.7";"";"";"";"";"";"";
"14.12.2023 04:00";"-22.1";"772.9";"792.7";"";"82";"Ветер, дующий с западо-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.4";"";"";"";"";"";"";
"14.12.2023 01:00";"-21.6";"774.2";"793.9";"";"81";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.0";"";"";"";"";"";"";
"13.12.2023 22:00";"-21.7";"774.9";"794.7";"";"81";"Ветер, дующий с западо-юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.1";"";"";"";"";"";"";
"13.12.2023 19:00";"-23.5";"774.9";"794.8";"";"80";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"-23.3";"";"";"";"";"";"";"-26.0";"";"";"";"";"";"";
"13.12.2023 16:00";"-25.8";"774.2";"794.3";"";"78";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-28.5";"";"";"";"";"";"";
"13.12.2023 13:00";"-27.8";"773.7";"793.9";"";"76";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-30.7";"";"";"";"";"";"";
"13.12.2023 10:00";"-28.7";"773.0";"793.3";"";"75";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-31.7";"";"";"";"";"";"";
"13.12.2023 07:00";"-31.1";"771.7";"792.1";"";"73";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"-33.0";"";"";"";"";"";"";"";"-34.4";"";"";"";"";"";"";
"13.12.2023 04:00";"-31.4";"770.4";"790.3";"";"72";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.7";"";"";"";"";"";"";
"13.12.2023 01:00";"-32.2";"769.4";"789.9";"";"72";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.6";"";"";"";"";"";"";
"12.12.2023 22:00";"-31.8";"768.0";"788.4";"";"71";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.3";"";"";"";"";"";"";
"12.12.2023 19:00";"-30.9";"766.0";"786.3";"";"73";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"-30.3";"";"";"";"";"";"";"-34.1";"";"";"";"";"";"";
"12.12.2023 16:00";"-30.4";"764.2";"784.5";"";"73";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-33.6";"";"";"";"";"";"";
"12.12.2023 13:00";"-33.0";"763.1";"783.5";"";"71";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.5";"";"";"";"";"";"";
"12.12.2023 10:00";"-34.9";"762.7";"783.2";"";"69";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-36.0";"";"";"";"";"";"";"";"-38.6";"";"";"";"";"";"";
"12.12.2023 07:00";"-36.0";"762.0";"782.6";"";"68";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-36.0";"";"";"";"";"";"";"";"-39.8";"";"";"";"";"";"";
"12.12.2023 04:00";"-34.9";"761.5";"782.1";"";"69";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-38.5";"";"";"";"";"";"";
"12.12.2023 01:00";"-33.8";"761.8";"782.2";"";"70";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-37.3";"";"";"";"";"";"";
"11.12.2023 22:00";"-32.3";"762.4";"782.7";"";"72";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.7";"";"";"";"";"";"";
"11.12.2023 16:00";"-30.8";"762.9";"783.1";"";"73";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.0";"";"";"";"";"";"";
"11.12.2023 13:00";"-31.8";"763.4";"783.7";"";"72";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.1";"";"";"";"";"";"";
"11.12.2023 07:00";"-33.0";"764.3";"784.8";"";"71";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-33.6";"";"";"";"";"";"";"";"-36.4";"";"";"";"";"";"";
"11.12.2023 04:00";"-33.4";"764.5";"785.0";"";"71";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.8";"";"";"";"";"";"";
"11.12.2023 01:00";"-32.6";"765.1";"785.5";"";"71";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-36.0";"";"";"";"";"";"";
"10.12.2023 22:00";"-31.8";"765.7";"786.1";"";"73";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.0";"";"";"";"";"";"";
"10.12.2023 19:00";"-30.7";"765.9";"786.2";"";"74";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"-29.6";"";"";"";"";"";"";"-33.8";"";"";"";"";"";"";
"10.12.2023 16:00";"-30.0";"765.8";"786.1";"";"74";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-33.1";"";"";"";"";"";"";
"10.12.2023 13:00";"-30.5";"766.0";"786.4";"";"73";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-33.7";"";"";"";"";"";"";
"10.12.2023 10:00";"-33.3";"766.5";"787.0";"";"72";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-33.5";"";"";"";"";"";"";"";"-36.6";"";"";"";"";"";"";
"10.12.2023 07:00";"-32.7";"766.2";"786.7";"";"72";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"-32.7";"";"";"";"";"";"";"";"-36.0";"";"";"";"";"";"";
"10.12.2023 04:00";"-31.5";"766.0";"786.4";"";"73";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-34.7";"";"";"";"";"";"";
"10.12.2023 01:00";"-30.6";"765.7";"786.0";"";"74";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-33.7";"";"";"";"";"";"";
